CNPJ;Ano;GN;Lead ou Prospecção Pura;Produto;CNPJ;Fantasia;Quantidade de CNPs;FATURAMENTO PRESUMIDO ANUAL;%;Representatividade 12º Mês;Expectativa de Cartões Ativos 12º Mês;Quantidade SOL;Segmento2;Segmento;Taxa a Vista%;Taxa CDC%;Concorrente;Cidade;UF;Data Último Contato;Status Negociação;Status da Oportunidade;URL Enviado?;Data Implantação;Data Abertura GP;Nº GP Mkt;Comentários
04.753.947/0001-24;2025;Murilo;Lead;4ª Linha;04.753.947/0001-24;Yamanaka Supermercado Ltda; ;R$ 36.985.253,00;7%;R$ 2.359.659,14;2809;2,18;Supermercado;Supermercado; ; ; ;Foz Do Iguacu;PR;28/04/2025;Prospecção;Frio; ; ; ; ; 
78.512.795/0001-04;2025;Murilo;Lead;Personalizado;78.512.795/0001-04;Rede Lar Ltda;16;R$ 29.405.689,00;7%;R$ 1.876.082,96;2233;1,73;Supermercado;Supermercado; ; ;ConvNet;Laranjeiras Do Sul;PR;29/04/2025;Qualificação;Frio; ; ; ; ;Tentativa de contato para agendamento de visita em 29/04/2025. Solicitado pesquisa sobre o concorrente que atua na emissão de cartões dentro da Lar hoje, para a Inteligência de Mercado
26.775.552/0001-65;2025;Murilo;Lead;4ª Linha;26.775.552/0001-65;Super Puppo Supermercados Ltda;3;R$ 23.405.432,00;7%;R$ 1.493.266,56;1778;1,38;Supermercado;Supermercado; ; ;Bônus Cred;Cascavel;PR;28/04/2025;Qualificação;Frio; ; ; ; ;Tentativa de novo agendamento, in loco, devido não estar conseguindo agendamento por telefone. Decisores são os proprietários, gerente financeira pediu pra entrar em contato novamente após a primeira semana de maio para tentar agendamento.
03.561.876/0001-03;2025;Murilo;Lead;4ª Linha;03.561.876/0001-03;S. M. I. Comercio De Alimentos Ltda; ;R$ 23.310.485,00;7%;R$ 1.487.208,94;1770;1,37;Supermercado;Supermercado; ; ; ;Sao Miguel Do Iguacu;PR;28/03/2025;Qualificação;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
80.854.367/0001-01;2025;Murilo;Lead;4ª Linha;80.854.367/0001-01;Grupo Gatti Ltda; ;R$ 19.189.553,00;7%;R$ 1.224.293,48;1457;1,13;Supermercado;Supermercado; ; ; ;Cascavel;PR;02/05/2025;Negociação;Morno; ; ; ; ;Será feita visita presencial em 02/05. Gerente da Loja em 02/05 solicitou para que entrasse em conato no próximo mês, devido algumas mudanças internas e que não poderia me atender.
01.586.537/0001-48;2025;Murilo;Lead;4ª Linha;01.586.537/0001-48;Trento De Palotina Ltda; ;R$ 17.357.676,00;7%;R$ 1.107.419,73;1318;1,02;Supermercado;Supermercado; ; ; ;Palotina;PR; ;Prospecção;Frio; ; ; ; ; 
75.075.432/0001-60;2025;Murilo;Lead;4ª Linha;75.075.432/0001-60;Rak Supermercado Ltda; ;R$ 17.304.216,00;7%;R$ 1.104.008,98;1314;1,02;Supermercado;Supermercado; ; ; ;Medianeira;PR;24/04/2025;Qualificação;Frio; ; ; ; ;Conversado com Gerente da Loja em 24/04/2025, ele achou interessante e pediu pra mantermos contato, pra agendar visita com o proprietário. Pediu pra ligar na segunda semana de maio/25.
09.478.441/0001-78;2025;Murilo;Lead;4ª Linha;09.478.441/0001-78;Avm Supermercado Ltda Em Recuperacao Judicial; ;R$ 15.587.634,00;7%;R$ 994.491,05;1184;0,92;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
14.346.533/0001-34;2025;Murilo;Lead;4ª Linha;14.346.533/0001-34;Supermercado Freitas Ltda; ;R$ 15.039.938,00;7%;R$ 959.548,04;1142;0,88;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
78.748.910/0001-44;2025;Murilo;Lead;4ª Linha;78.748.910/0001-44;V. Muller & Cia Ltda; ;R$ 14.661.533,00;7%;R$ 935.405,81;1114;0,86;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
30.296.152/0001-44;2025;Murilo;Lead;4ª Linha;30.296.152/0001-44;J S Persch Comercio De Alimentos Ltda; ;R$ 12.854.757,00;7%;R$ 820.133,50;976;0,76;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
81.661.886/0001-16;2025;Murilo;Lead;4ª Linha;81.661.886/0001-16;Supermercado Foscharini Ltda; ;R$ 11.797.958,00;7%;R$ 752.709,72;896;0,69;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
07.978.860/0001-43;2025;Murilo;Lead;4ª Linha;07.978.860/0001-43;Wanderlei Perego Ltda; ;R$ 10.320.826,00;7%;R$ 658.468,70;784;0,61;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
81.107.898/0001-01;2025;Murilo;Lead;4ª Linha;81.107.898/0001-01;M. Ranpani & Cia Ltda; ;R$ 9.947.173,00;7%;R$ 634.629,64;756;0,59;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
06.191.455/0001-18;2025;Murilo;Lead;4ª Linha;06.191.455/0001-18;Hamud Supermercado Ltda; ;R$ 9.895.082,00;7%;R$ 631.306,23;752;0,58;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
11.121.536/0001-81;2025;Murilo;Lead;4ª Linha;11.121.536/0001-81;Mix Center Supermercado Ltda; ;R$ 9.894.915,00;7%;R$ 631.295,58;752;0,58;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
02.971.957/0001-00;2025;Murilo;Lead;4ª Linha;02.971.957/0001-00;Supermercado Sidimar Ltda; ;R$ 9.439.738,00;7%;R$ 602.255,28;717;0,56;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
77.980.829/0001-22;2025;Murilo;Lead;4ª Linha;77.980.829/0001-22;Cisne Comercio De Generos Alimenticios Ltda;1;R$ 8.884.087,00;7%;R$ 566.804,75;675;0,52;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
02.101.569/0001-79;2025;Murilo;Lead;4ª Linha;02.101.569/0001-79;Marini & Piton Ltda; ;R$ 8.516.398,00;7%;R$ 543.346,19;647;0,5;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
77.608.792/0001-06;2025;Murilo;Lead;4ª Linha;77.608.792/0001-06;Supermercado Industrial Ltda; ;R$ 8.498.544,00;7%;R$ 542.207,11;645;0,5;Supermercado;Supermercado; ; ; ; ;PR;29/04/2025;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
76.159.573/0001-24;2025;Murilo;Lead;4ª Linha;76.159.573/0001-24;M. P. Soares E Cia Ltda; ;R$ 8.279.090,00;7%;R$ 528.205,94;629;0,49;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
05.609.588/0001-07;2025;Murilo;Lead;4ª Linha;05.609.588/0001-07;Mercado Monaco Ltda;1;R$ 8.221.111,00;7%;R$ 524.506,88;624;0,48;Supermercado;Supermercado; ; ; ; ;PR;03/06/2025;Qualificação;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos. Visitado em 29/04/2025. Conversado com Supervisora dos caixas, não passou contato do Proprietário. Pediu pra entrar em contato pelo telefone para agendar visita novamente. Conversado no dia 28/05 e novamente não foi passado contato. Proprietário não estava. Nova tentativa presencial no dia 03/06. Feita nova visita presencial, mas proprietário não quis me atender, disse que estava com a agenda cheia, atendendo outros fornecedores. Fiscal de Caixa Salete pediu pra retornar outro dia.
80.574.734/0001-13;2025;Murilo;Lead;4ª Linha;80.574.734/0001-13;Franzobel Comercio De Alimentos Ltda; ;R$ 8.179.204,00;7%;R$ 521.833,22;621;0,48;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
76.089.796/0001-62;2025;Murilo;Lead;4ª Linha;76.089.796/0001-62;Trento & Cia Ltda; ;R$ 8.159.438,00;7%;R$ 520.572,14;620;0,48;Supermercado;Supermercado; ; ; ; ;PR;07/05/2025;Prospecção;Frio; ; ; ; ; 
73.351.397/0001-30;2025;Murilo;Lead;4ª Linha;73.351.397/0001-30;Comercial Disa De Generos Alimenticios Ltda; ;R$ 7.945.879,00;7%;R$ 506.947,08;604;0,47;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
80.772.247/0001-65;2025;Murilo;Lead;4ª Linha;80.772.247/0001-65;Hebrom Supermercado Ltda;1;R$ 7.824.324,00;7%;R$ 499.191,87;594;0,46;Supermercado;Supermercado; ; ;Bônus Cred; ;PR;20/06/2025;Qualificação;Frio; ; ; ; ;Feita Primeira Visita em 23/04/2025. Conversado com Gerente Jaqueline. Agendamento da 2ª Visita com a Proprietária Cris, para apresentação do Cooper Bank. Proprietária não ouviu apresentação devido estar com muita coisa no fechamento de mês, pediu para retornar novamente em maio, que ela terá mais tempo pra ouvir a proposta. Feita nova visita em maio/25, mas proprietária Cris não me atendeu novamente. Entrei em contato 20/06, presencialmente. Proprietário ouviu sobre o Cooper Bank 4L, mas não teve tempo para ouvir a apresentação e proposta. Será feita nova visita em agosto, pois cliente pediu 60 dias para retorno.
01.105.288/0001-21;2025;Murilo;Lead;4ª Linha;01.105.288/0001-21;Supermercado Hack Ltda; ;R$ 7.666.991,00;7%;R$ 489.154,03;582;0,45;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Não entrou na migração, pois não tem 50 cartões ativos
12.273.608/0001-79;2025;Murilo;Lead;4ª Linha;12.273.608/0001-79;Manain Comercio De Alimentos Ltda;3;R$ 7.405.304,00;7%;R$ 472.458,40;562;0,44;Supermercado;Supermercado; ; ;Bônus Cred; ;PR;25/04/2025;Qualificação;Frio; ; ; ; ;Apresentado para um Gerente Financeiro. Aguardando confirmação da Data de agendamento para apresentar para um dos sócios. Conversado com Sócio Paulo. Solicitou nova visita para início de maio/25, para apresentação do Cooper Bank. Visitado Presencialmente no dia 25/04 com agendamento, porém Paulo não estava. Nova visita na primeira quinzena de maio/25
19.469.210/0001-51;2025;Murilo;Lead;4ª Linha;19.469.210/0001-51;Irmaos Cirelli Ltda; ;R$ 6.399.274,00;7%;R$ 408.273,68;486;0,38;Supermercado;Supermercado; ; ; ; ;PR;25/04/2025;Prospecção;Frio; ; ; ; ; 
13.699.741/0001-54;2025;Murilo;Lead;4ª Linha;13.699.741/0001-54;Penso Supermercado Ltda; ;R$ 6.239.819,00;7%;R$ 398.100,45;474;0,37;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
11.260.709/0001-42;2025;Murilo;Lead;4ª Linha;11.260.709/0001-42;Menon Comercio De Alimentos Ltda; ;R$ 6.228.930,00;7%;R$ 397.405,73;473;0,37;Supermercado;Supermercado; ; ; ; ;PR;25/04/2025;Qualificação;Frio; ; ; ; ;Feita visita presencial em 25/04. Decisor não estava presente e não foi possível agendar visita. Entrar em contato novamente na primeira semana de maio/25 para nova tentativa.
11.506.793/0001-31;2025;Murilo;Lead;4ª Linha;11.506.793/0001-31;Comercio De Alimentos Toledo Ltda; ;R$ 6.174.626,00;7%;R$ 393.941,14;469;0,36;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
04.984.269/0001-00;2025;Murilo;Lead;4ª Linha;04.984.269/0001-00;Nytos Ltda; ;R$ 5.542.342,00;7%;R$ 353.601,42;421;0,33;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
30.878.216/0001-15;2025;Murilo;Lead;4ª Linha;30.878.216/0001-15;Biff & Sabadin Ltda; ;R$ 5.458.755,00;7%;R$ 348.268,57;415;0,32;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
30.370.809/0001-76;2025;Murilo;Lead;4ª Linha;30.370.809/0001-76;Redecon Supermercado Ltda; ;R$ 5.380.216,00;7%;R$ 343.257,78;409;0,32;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
52.045.808/0001-99;2025;Murilo;Lead;4ª Linha;52.045.808/0001-99;Super Carrinho Cheio Ltda; ;R$ 4.915.143,00;7%;R$ 313.586,12;373;0,29;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
53.015.976/0001-02;2025;Murilo;Lead;4ª Linha;53.015.976/0001-02;Supervarejo Supermercado Ltda; ;R$ 4.911.588,00;7%;R$ 313.359,31;373;0,29;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
76.885.953/0001-46;2025;Murilo;Lead;4ª Linha;76.885.953/0001-46;Joao Inacio Kreuz & Cia. Ltda.; ;R$ 4.900.000,00;7%;R$ 312.620,00;372;0,29;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
31.763.010/0001-02;2025;Murilo;Lead;4ª Linha;31.763.010/0001-02;Dilettare Supermercados Ltda; ;R$ 4.900.000,00;7%;R$ 312.620,00;372;0,29;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
48.199.779/0001-42;2025;Murilo;Lead;4ª Linha;48.199.779/0001-42;Comercial Supermercado Paluski Ltda; ;R$ 4.900.000,00;7%;R$ 312.620,00;372;0,29;Supermercado;Supermercado; ; ; ; ;PR;22/04/2025;Prospecção;Frio; ; ; ; ; 
81.264.343/0001-65;2025;Murilo;Lead;4ª Linha;81.264.343/0001-65;Cotrasul Cooperativa De Consumo; ;R$ 2.600.000,00;7%;R$ 165.880,00;197;0,15;Supermercado;Supermercado; ; ; ; ;PR;22/04/2025;Prospecção;Frio; ; ; ; ; 
23.942.589/0001-42;2025;Rodrigo;Prospecção Pura;4ª Linha;23.942.589/0001-42;Supermercado Quinteto;1;R$ -    ;7%;R$ 0,00;1200;0;Supermercado;Supermercado; ; ; ; ;PR;22/09/2025;Prospecção;Frio; ; ; ; ;Eu apresentei uma proposta, ela está em análise. 
02.939.198/0001-07;2025;Rodrigo;Prospecção Pura;4ª Linha;02.939.198/0001-07;Lojas Colbacho;11;R$ -    ;7%;R$ 0,00;450;0;Confecções e/ou Calçados;Roupas e calçados; ; ;Senff; ;PR;19/05/2025;Prospecção;Frio; ; ; ; ;No último Follow ficou combinado voltarmos a converar na segunda quinzenda do mês de Julho
78.413.325/0001-93;2025;Rodrigo;Prospecção Pura;Personalizado;78.413.325/0001-93;Supermercado Jacomar Ltda;20;R$ 167.137.039,00;7%;R$ 10.663.343,09;12694;9,83;Supermercado;Supermercado; ; ;Senff;Sao Jose Dos Pinhais;PR;27/04/2025;Qualificação;Frio; ; ; ; ;Não tive resposta do diretor financeiro sobre a apresentação que eu enviei. Vou tentar o contato pessoalmente
81.473.720/0001-76;2025;Rodrigo;Prospecção Pura;4ª Linha;81.473.720/0001-76;Supermercado Dalpar;1;R$ 24.056.777,00;7%;R$ 1.534.822,37;1827;1,42;Supermercado;Supermercado; ; ;Não emitem cartão ;Curitiba;PR;23/09/2025;Negociação; ; ; ; ; ;O proprietário não pode me atender, remarcamos para o dia 06/04/2025
03.107.202/0001-25;2025;Débora;Prospecção Pura;Personalizado;03.107.202/0001-25;Grupo Passarela;21;R$ 141.905.355,00;7%;R$ 9.053.561,65;10778;8,35;Supermercado;Supermercado; ; ;SENFF;Concordia;SC;02/05/2025;Qualificação; ; ; ; ; ;Possuem uma bandeira atacadista (Via Atacadista) e varejo (Passarela Supermercados), na linha do varejo trabalham com convênio próprio e no atacado SENFF. Em conversa com gerente financeira Elisandra, a mesma achou interessante a possibilidade de criar um cartão para o grupo. Pediu apresentação para evoluir uma conversa interna com os decisores. Me pediu para dar um retorno dia 02/05
09.199.938/0001-57;2025;Débora;Prospecção Pura;Personalizado;09.199.938/0001-57;Supermercados Prado;7;R$ 18.608.373,00;7%;R$ 1.187.214,20;1413;1,09;Supermercado;Supermercado; ; ;Tricard;Biguacu;SC;28/04/2025;Qualificação; ; ; ; ; ;Não possui cartão próprio, pediram apresentação por e-mail para tentar contato com decisor. Encaminhado e-mail para financeiro@pradosupermercado.com.br. Em conversa com Camila, a mesma informa que estão pensando na possibilidade da troca de administradora do cartão e achou interessante as características do produto personalizado. Pediu para enviar uma apresentação, dei retorno no dia 28/04, mas disse que ainda não tinha conseguido analisar
79.967.923/0001-77;2025;Débora;Prospecção Pura;4ª Linha;79.967.923/0001-77;Supermercados Priotto;4;R$ 16.189.570,00;7%;R$ 1.032.894,57;1230;0,95;Supermercado;Supermercado; ; ;SENFF;Castro;SC;28/04/2025;Qualificação; ; ; ; ; ;Josicleia pede para enviar apresentação e retorno para conversar melhor sobre.
00.250.392/0001-47;2025;Débora;Prospecção Pura;Personalizado;00.250.392/0001-47;Supermercados Becker;3;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Tricard;Sao Ludgero;SC;28/04/2025;Qualificação; ; ; ; ; ;Fabricio, gerente financeiro pede apresentação por e-mail e já deixamos agendado um retorno com reunião online no dia 16/04, o mesmo cancelou a reunião e me pediu retorno na primeira semande Maio para uma possivel nova agenda.
73.419.905/0001-74;2025;Débora;Prospecção Pura;4ª Linha;73.419.905/0001-74;Supermercados Boza;4;R$ 216.063.039,00;7%;R$ 13.784.821,89;16411;12,71;Supermercado;Supermercado; ; ;SENFF;Fazenda Rio Grande;PR;28/04/2025;Qualificação; ; ; ; ; ;Feito contato com Indianara, pediu pra enviar uma apresentação do produto para discutir internamente e retorno no inicio de Maio, data de retorno 05/05
53.742.243/0001-61;2025;Débora;Prospecção Pura;Personalizado;53.742.243/0001-61;Sol Supermercados/Alfredo Antunes;12;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Tricard;Jandira;SP; ;Prospecção; ; ; ; ; ;Associação com diversos CNPJ matriz, ainda não consegui falar com ninguém.
84.897.313/0001-84;2025;Débora;Prospecção Pura;4ª Linha;84.897.313/0001-84;Colatusso Supermercado;4;R$ 118.996.094,00;7%;R$ 7.591.950,80;9038;7;Supermercado;Supermercado; ; ;SENFF;Campo Largo;PR;28/04/2025;Prospecção; ; ; ; ; ;Marieva responsável, ainda não consegui contato direto. Retorno na proxima semana
64.599.871/0001-56;2025;Débora;Prospecção Pura;4ª Linha;64.599.871/0001-56;Supemercados Galassi;4;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Não emitem cartão ; ;SP; ;Prospecção; ; ; ; ; ; 
79.645.404/0001-92;2025;Débora;Prospecção Pura;Personalizado;79.645.404/0001-92;Supermercados Bruda;8;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Crediario proprio;Canoinhas;SC;21/04/2025;Qualificação; ; ; ; ; ;Angelize disse que trabalham com crediário próprio desde a inauguração, mas achou interessante as caracterisca do personalizado. Pediu envio de apresentação e retorno na primeira semana e Maio, retorno programado para 05/05
80.864.341/0001-44;2025;Murilo;Lead;A definir;80.864.341/0001-44;Laka Vestuarios Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
80.330.038/0001-61;2025;Murilo;Lead;A definir;80.330.038/0001-61;Lima & Ceconi Ltda.; ;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
77.883.320/0001-61;2025;Murilo;Lead;A definir;77.883.320/0001-61;Supermercado Superpao S/A; ;R$ 346.835.253,00;7%;R$ 22.128.089,14;26343;20,4;Supermercado;Supermercado; ; ; ;Guarapuava;PR; ;Prospecção;Frio; ; ; ; ; 
75.864.728/0001-60;2025;Murilo;Lead;A definir;75.864.728/0001-60;Grupo Irani Ltda; ;R$ 443.068.462,00;7%;R$ 28.267.767,88;33652;26,06;Supermercado;Supermercado; ; ; ;Cascavel;PR; ;Sem Interesse;Frio; ; ; ; ;Grupo Irani possui cartão próprio, falado com Solange Gerente Financeiro, eles fazem a própria intermediação dos cartões. IP Card
57.560.271/0001-19;2025;Murilo;Lead;A definir;57.560.271/0001-19;Force Group Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
55.431.614/0001-10;2025;Murilo;Lead;A definir;55.431.614/0001-10;Lima E Nesi Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
52.845.824/0001-66;2025;Murilo;Lead;A definir;52.845.824/0001-66;Claudio Piana E Filhos Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
46.960.840/0001-05;2025;Murilo;Lead;A definir;46.960.840/0001-05;Vintenove Store Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
28.182.105/0001-28;2025;Murilo;Lead;A definir;28.182.105/0001-28;Ads O1 Comercio De Roupas E Artigos Esportivos Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Franquia da Adidas
25.529.555/0001-56;2025;Murilo;Lead;A definir;25.529.555/0001-56;Ads O3 Comercio De Roupas E Artigos Esportivos Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Franquia da Adidas
21.109.259/0001-45;2025;Murilo;Lead;A definir;21.109.259/0001-45;Ads P07 Comercio De Roupas E Artigos Esportivos Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ;Franquia da Adidas
03.435.665/0001-16;2025;Murilo;Lead;A definir;03.435.665/0001-16;Lima & Monici Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção;Frio; ; ; ; ; 
03.269.769/0001-06;2025;Murilo;Lead;A definir;03.269.769/0001-06;J . L. Magnabosco & Cia Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Sem Interesse;Frio; ; ; ; ;Loja não encontrada, ido até o local, e não existe loja no endereço pesquisado. Não tem telefone de contato.
02.933.413/0001-54;2025;Murilo;Lead;A definir;02.933.413/0001-54;S.A.S. Jeans Comercio De Confeccoes Ltda.; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR;06/05/2025;Prospecção;Frio; ; ; ; ; 
00.309.753/0001-83;2025;Murilo;Lead;A definir;00.309.753/0001-83;Faria & Moreira Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ; ; ;PR;29/04/2025;Prospecção;Frio; ; ; ; ; 
83.307.926/0001-51;2025;Murilo;Lead;A definir;83.307.926/0001-51;Supermercados Brasão;6;R$ -    ;7%;R$ 0,00;0;0;Supermercado;Supermercado; ; ;Senff;Chapecó;SC;06/05/2025;Qualificação;Frio; ; ; ; ;9Conhecido o Mercado. Agendar visita. Falado com Gerente das Lojas de Chapecó. Conversado com Fernanda (financeiro). Encaminhou para Elizabeth que é a Controller e trata dos assuntos relacionados a cartão e emissão. Solicitou que entrasse em contato no dia 07/05 para conversar com Elizabeth e tentar agendar visita
77.500.049/0001-38;2025;Murilo;Lead;Personalizado;77.500.049/0001-38;Lojas Mm - Mercadomoveis; ;R$ -    ;7%;R$ 0,00;0;0;Outros;Móveis e Eletro; ; ;Nenhum emissor de cartão;São Paulo;PR;08/08/2025;Qualificação;Frio;Não; ;28/abr;632029;Conversado com Gerson, Gerente Regional do Paraná. Agendado Primeira Apresentação para dia 28/04. Feita Reunião no dia 28/04, explicado sobre o Cooper Bank e modelo de negócio para agregar ao formato de atuação da MM Móveis. Recebido arte para criação da Apresentação Personalizada. Assim que receber a Apresentação Personalizada, será agendada nova reunião 2ª visita) para Apresentação ao setor financeiro da MM. Agendada nova reunião para apresentação da proposta personalizada, em 27/05. Conversado com Gerson. Ele vai passar para o setor financeiro. Fazer agendamento com o Financeiro para nova apresentação. Falado com Gerson para agendamento de nova apresentação em 10/06, ele disse que o financeiro está sem disponibilidade de agenda no momento, pediu pra entrar em contato em 60 dias. Nova tentativa de agendamento em 08/08, porém sem retorno.
04.624.254/0001-31;2025;Maurício;Lead;A definir;04.624.254/0001-31;Calcados Cachoeira Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
01.716.278/0001-22;2025;Maurício;Lead;A definir;01.716.278/0001-22;Mercado Nossa Senhora Imaculada Conceicao Ltda; ;R$ 17.998.444,00;7%;R$ 1.148.300,73;1367;1,06;Supermercado;Supermercado; ; ; ;Almirante Tamandare;PR; ;Prospecção; ; ; ; ; ; 
06.022.455/0001-94;2025;Maurício;Lead;A definir;06.022.455/0001-94;Supermercado Vilagge Paulista Ltda; ;R$ 42.751.393,00;7%;R$ 2.727.538,87;3247;2,51;Supermercado;Supermercado; ; ; ;Campina Grande Do Sul;PR; ;Prospecção; ; ; ; ; ; 
04.624.696/0001-88;2025;Maurício;Lead;A definir;04.624.696/0001-88;Calcados Girlene Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções e/ou Calçados;Confecções e Calçados; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
80.178.080/0001-09;2025;Maurício;Lead;A definir;80.178.080/0001-09;Comercio De Cereais Dela Santos Ltda; ;R$ 71.924.385,00;7%;R$ 4.588.775,76;5463;4,23;Supermercado;Supermercado; ; ; ;Colombo;PR; ;Prospecção; ; ; ; ; ; 
01.726.050/0001-13;2025;Maurício;Lead;A definir;01.726.050/0001-13;Oversup Supermercados Ltda; ;R$ 46.223.256,00;7%;R$ 2.949.043,73;3511;2,72;Supermercado;Supermercado; ; ; ;Colombo;PR; ;Prospecção; ; ; ; ; ; 
80.186.406/0001-40;2025;Maurício;Lead;A definir;80.186.406/0001-40;Comercio De Cereais Delamartes Ltda; ;R$ 44.930.283,00;7%;R$ 2.866.552,06;3413;2,64;Supermercado;Supermercado; ; ; ;Colombo;PR; ;Prospecção; ; ; ; ; ; 
78.394.863/0001-88;2025;Maurício;Lead;A definir;78.394.863/0001-88;Harger & Silva Supermercados Ltda; ;R$ 35.837.962,00;7%;R$ 2.286.461,98;2722;2,11;Supermercado;Supermercado; ; ; ;Colombo;PR; ;Prospecção; ; ; ; ; ; 
04.069.239/0001-79;2025;Maurício;Lead;A definir;04.069.239/0001-79;Supermercado Fazendao Ltda; ;R$ 33.750.803,00;7%;R$ 2.153.301,23;2563;1,99;Supermercado;Supermercado; ; ; ;Colombo;PR; ;Prospecção; ; ; ; ; ; 
00.518.055/0001-98;2025;Maurício;Lead;A definir;00.518.055/0001-98;Merkbars Mercearia E Bar Ltda; ;R$ -    ;7%;R$ 0,00;0;0;Confecções;Confecções; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
76.261.999/0001-94;2025;Maurício;Lead;A definir;76.261.999/0001-94;Super Mercado Santa Helena Ltda; ;R$ 14.086.692,00;7%;R$ 898.730,95;1070;0,83;Supermercado;Supermercado; ; ; ; ;PR; ;Prospecção; ; ; ; ; ; 
